Tiempo;Régimen;Presión colector;Mariposa;Temp. refrigerante;Temp. aire;Lambda;Lambda objetivo;Avance;Presión aceite;Tensión batería
3,250;1540;56,1;12,5;85,65;36,55;0,991;0,982;11,8;182,0;13,989
3,300;1558;57,9;13,0;85,65;36,55;0,984;0,982;11,7;180,7;14,030
3,350;1599;58,2;13,5;85,75;36,55;0,984;0,981;12,1;183,4;14,004
3,400;1606;58,8;14,0;85,65;36,65;0,971;0,980;12,0;183,6;13,960
3,450;1640;59,7;14,5;85,65;36,65;0,977;0,980;11,9;186,3;13,968
3,500;1656;61,2;15,0;85,75;36,75;0,986;0,979;12,5;187,1;14,007
3,550;1694;61,6;15,5;85,75;36,65;0,977;0,978;12,1;190,7;13,961
3,600;1729;62,5;16,0;85,75;36,65;0,983;0,978;12,2;191,4;13,931
3,650;1749;63,5;16,5;85,65;36,65;0,967;0,977;12,6;193,8;13,983
3,700;1774;64,8;17,0;85,75;36,65;0,973;0,976;12,7;192,2;13,951
3,750;1794;65,3;17,5;85,75;36,75;0,964;0,976;12,8;190,9;14,011
3,800;1812;66,8;18,0;85,75;36,75;0,983;0,975;12,6;194,7;13,981
3,850;1836;67,6;18,5;85,85;36,85;0,963;0,974;12,6;198,0;13,933
3,900;1869;68,1;19,0;85,75;36,75;0,976;0,973;12,6;194,7;13,928
3,950;1894;70,1;19,5;85,75;36,75;0,970;0,973;13,0;197,3;13,958
4,000;1930;70,1;20,0;85,75;36,75;0,978;0,972;13,3;200,7;13,934
4,050;1931;71,3;20,5;85,85;36,85;0,962;0,971;13,1;199,1;13,954
4,100;1972;72,0;21,0;85,75;36,95;0,967;0,971;13,2;203,4;13,991
4,150;2010;72,6;21,5;85,85;36,95;0,973;0,970;13,1;203,9;13,935
4,200;2027;73,6;22,0;85,85;36,85;0,973;0,969;13,5;208,0;13,961
4,250;2050;74,6;22,5;85,95;36,85;0,961;0,968;13,5;209,0;13,973
4,300;2079;75,6;23,0;85,85;36,95;0,959;0,968;13,3;209,5;13,973
4,350;2108;76,9;23,5;85,85;37,05;0,972;0,967;13,3;207,8;13,965
4,400;2133;77,9;24,0;85,95;37,15;0,967;0,966;13,6;207,5;13,993
4,450;2157;78,9;24,5;85,85;37,05;0,964;0,966;13,7;213,6;13,953
4,500;2187;79,8;25,0;85,85;37,05;0,964;0,965;13,8;212,8;13,988
4,550;2209;81,3;25,5;85,85;37,15;0,958;0,964;13,7;212,4;13,968
4,600;2231;82,0;26,0;85,85;37,25;0,969;0,964;14,0;214,3;13,991
4,650;2242;82,2;26,5;85,95;37,15;0,963;0,963;14,1;215,4;13,926
4,700;2288;83,3;27,0;86,05;37,15;0,959;0,962;14,1;217,5;13,912
4,750;2308;84,2;27,5;85,95;37,25;0,953;0,962;14,2;218,1;13,920
4,800;2323;84,9;28,0;85,95;37,35;0,953;0,961;14,0;218,6;13,979
4,850;2343;86,4;28,5;85,95;37,25;0,954;0,960;14,1;218,9;13,962
4,900;2373;87,2;29,0;85,95;37,35;0,947;0,959;14,4;223,2;13,912
4,950;2395;87,8;29,5;86,05;37,35;0,950;0,959;14,5;224,2;13,997
5,000;2441;89,4;30,0;85,95;37,35;0,953;0,958;14,4;225,2;13,938
5,050;2448;90,1;30,5;86,05;37,35;0,944;0,957;14,3;226,3;13,908
5,100;2467;90,4;31,0;86,05;37,45;0,955;0,957;14,7;224,9;13,978
5,150;2517;91,7;31,5;86,05;37,45;0,953;0,956;14,6;229,6;13,923
5,200;2538;92,3;32,0;86,15;37,35;0,955;0,955;15,0;232,9;13,905
5,250;2544;93,9;32,5;86,05;37,55;0,951;0,954;15,2;233,2;13,941
5,300;2569;94,8;33,0;86,05;37,55;0,950;0,954;15,2;231,3;13,991
5,350;2620;95,8;33,5;86,05;37,45;0,959;0,953;15,3;235,0;13,944
5,400;2644;96,5;34,0;86,05;37,45;0,954;0,952;15,1;234,8;13,942
5,450;2667;97,8;34,5;86,15;37,65;0,956;0,952;15,4;235,1;13,939
5,500;2691;98,1;35,0;86,15;37,55;0,944;0,951;15,1;239,6;13,918
5,550;2698;99,3;35,5;86,15;37,55;0,946;0,950;15,4;238,5;13,933
5,600;2747;100,0;36,0;86,15;37,75;0,940;0,950;15,6;237,1;13,955
5,650;2756;101,7;36,5;86,15;37,55;0,954;0,949;15,2;243,9;13,934
5,700;2783;102,6;37,0;86,25;37,65;0,950;0,948;15,4;243,8;13,928
5,750;2822;103,6;37,5;86,15;37,65;0,947;0,948;15,8;245,0;13,968
5,800;2826;103,9;38,0;86,05;37,65;0,944;0,947;15,6;245,3;13,901
5,850;2858;105,2;38,5;86,25;37,85;0,942;0,946;15,5;248,2;13,948
5,900;2888;106,1;39,0;86,15;37,85;0,943;0,945;16,0;247,4;13,920
5,950;2909;107,4;39,5;86,15;37,85;0,948;0,945;16,0;248,8;13,904
6,000;2948;108,1;40,0;86,15;37,85;0,935;0,944;16,1;250,5;13,988
6,050;2958;109,1;40,5;86,25;37,85;0,946;0,943;15,8;253,8;13,925
6,100;2988;110,2;41,0;86,25;37,95;0,947;0,943;15,9;254,2;13,927
6,150;3011;111,1;41,5;86,15;37,95;0,930;0,942;16,3;255,3;13,919
6,200;3057;111,9;42,0;86,25;37,95;0,930;0,941;16,3;255,4;13,962
6,250;3069;111,9;42,5;86,35;37,85;0,937;0,940;16,6;257,7;13,906
6,300;3104;113,4;43,0;86,25;38,05;0,935;0,940;16,6;254,6;13,903
6,350;3131;114,7;43,5;86,25;38,05;0,941;0,939;16,3;258,6;13,931
6,400;3155;114,7;44,0;86,25;38,05;0,925;0,938;16,8;261,8;13,908
6,450;3181;115,7;44,5;86,25;38,05;0,942;0,938;16,6;263,1;13,887
6,500;3182;117,4;45,0;86,35;38,05;0,938;0,937;16,9;264,2;13,936
6,550;3207;118,6;45,5;86,35;37,95;0,933;0,936;16,5;261,0;13,952
6,600;3233;119,4;46,0;86,35;38,15;0,932;0,936;17,0;263,0;13,931
6,650;3259;119,6;46,5;86,35;38,05;0,924;0,935;17,3;264,8;13,890
6,700;3290;121,1;47,0;86,35;38,25;0,921;0,934;16,8;265,7;13,950
6,750;3327;122,4;47,5;86,35;38,25;0,930;0,934;17,2;270,0;13,926
6,800;3351;122,7;48,0;86,25;38,05;0,923;0,933;17,2;268,9;13,924
6,850;3388;124,1;48,5;86,45;38,15;0,933;0,932;17,2;269,1;13,970
6,900;3411;125,1;49,0;86,45;38,25;0,930;0,931;17,5;274,7;13,883
6,950;3425;125,6;49,5;86,45;38,25;0,929;0,931;17,6;275,9;13,974
7,000;3456;126,9;50,0;86,45;38,35;0,934;0,930;17,5;277,4;13,903
7,050;3475;128,0;50,5;86,45;38,35;0,920;0,929;17,6;275,7;13,924
7,100;3488;128,3;51,0;86,45;38,35;0,921;0,929;17,7;278,0;13,909
7,150;3534;128,7;51,5;86,45;38,35;0,913;0,928;17,6;276,3;13,931
7,200;3548;130,1;52,0;86,45;38,45;0,921;0,927;17,9;278,8;13,891
7,250;3570;131,2;52,5;86,45;38,35;0,913;0,926;18,0;279,1;13,938
7,300;3610;131,7;53,0;86,55;38,35;0,928;0,926;17,9;283,0;13,915
7,350;3640;132,6;53,5;86,45;38,55;0,924;0,925;18,1;280,8;13,894
7,400;3644;134,3;54,0;86,55;38,45;0,920;0,924;18,2;283,5;13,906
7,450;3670;134,9;54,5;86,55;38,45;0,925;0,924;17,9;284,0;13,918
7,500;3714;135,4;55,0;86,55;38,55;0,908;0,923;18,5;285,8;13,905
7,550;3737;137,1;55,5;86,55;38,55;0,914;0,922;18,4;290,1;13,925
7,600;3758;138,2;56,0;86,45;38,45;0,919;0,922;18,5;291,5;13,947
7,650;3796;138,9;56,5;86,55;38,65;0,915;0,921;18,3;291,3;13,866
7,700;3819;139,7;57,0;86,55;38,65;0,908;0,920;18,3;289,6;13,938
7,750;3828;140,8;57,5;86,65;38,55;0,907;0,920;18,5;291,1;13,964
7,800;3854;141,9;58,0;86,55;38,75;0,916;0,919;18,7;292,9;13,879
7,850;3871;142,2;58,5;86,55;38,65;0,916;0,918;18,6;296,5;13,947
7,900;3921;143,8;59,0;86,55;38,65;0,902;0,917;19,0;296,7;13,953
7,950;3922;143,7;59,5;86,65;38,75;0,921;0,917;19,0;298,9;13,947
8,000;3961;145,4;60,0;86,55;38,65;0,917;0,916;18,9;301,2;13,935
8,050;3997;146,4;60,5;86,55;38,65;0,906;0,915;18,8;299,4;13,958
8,100;4020;147,6;61,0;86,55;38,85;0,900;0,915;19,2;302,1;13,868
8,150;4031;148,1;61,5;86,75;38,85;0,905;0,914;19,0;306,1;13,954
8,200;4070;148,8;62,0;86,65;38,75;0,913;0,913;19,4;307,6;13,936
8,250;4078;150,3;62,5;86,65;38,95;0,903;0,912;19,5;303,5;13,900
8,300;4114;150,6;63,0;86,75;38,85;0,912;0,912;19,6;304,6;13,901
8,350;4124;151,6;63,5;86,65;38,85;0,895;0,911;19,6;308,1;13,930
8,400;4177;152,2;64,0;86,75;38,95;0,896;0,910;19,7;310,4;13,917
8,450;4203;153,3;64,5;86,75;38,95;0,910;0,910;19,8;310,5;13,861
8,500;4211;154,9;65,0;86,65;38,95;0,902;0,909;19,6;313,5;13,951
8,550;4237;154,9;65,5;86,75;39,05;0,901;0,908;19,8;315,5;13,867
8,600;4258;156,1;66,0;86,75;39,15;0,902;0,908;19,7;313,2;13,946
8,650;4291;157,5;66,5;86,75;38,95;0,896;0,907;20,1;316,0;13,915
8,700;4310;158,1;67,0;86,75;38,95;0,897;0,906;19,9;318,6;13,890
8,750;4353;159,5;67,5;86,65;39,05;0,899;0,906;20,4;321,5;13,928
8,800;4360;160,3;68,0;86,75;39,05;0,902;0,905;20,5;322,6;13,937
8,850;4391;161,4;68,5;86,75;39,05;0,889;0,904;20,4;321,3;13,921
8,900;4431;162,4;69,0;86,75;39,15;0,892;0,903;20,4;321,5;13,847
8,950;4435;163,2;69,5;86,85;39,05;0,895;0,903;20,6;324,8;13,853
9,000;4469;163,7;70,0;86,75;39,15;0,899;0,902;20,3;325,1;13,882
9,050;4503;164,7;70,5;86,85;39,15;0,893;0,901;20,7;324,2;13,890
9,100;4531;166,3;71,0;86,85;39,35;0,896;0,901;20,4;324,6;13,880
9,150;4536;167,1;71,5;86,85;39,35;0,895;0,900;21,0;327,2;13,901
9,200;4583;167,2;72,0;86,95;39,25;0,900;0,899;20,7;331,7;13,871
9,250;4604;169,1;72,5;86,85;39,25;0,896;0,898;20,7;330,2;13,888
9,300;4629;169,9;73,0;86,85;39,35;0,890;0,898;20,7;333,8;13,874
9,350;4643;170,4;73,5;86,95;39,35;0,886;0,897;21,0;336,7;13,911
9,400;4660;171,8;74,0;86,95;39,45;0,881;0,896;20,9;333,2;13,887
9,450;4685;172,1;74,5;86,85;39,45;0,888;0,896;21,1;333,4;13,855
9,500;4729;173,3;75,0;86,85;39,45;0,889;0,895;21,1;335,5;13,910
9,550;4758;173,6;75,5;86,85;39,55;0,885;0,894;21,4;340,9;13,843
9,600;4788;174,9;76,0;86,95;39,45;0,886;0,894;21,7;341,3;13,904
9,650;4796;176,0;76,5;86,95;39,55;0,888;0,893;21,6;344,0;13,863
9,700;4832;177,1;77,0;86,95;39,55;0,894;0,892;21,6;341,5;13,912
9,750;4853;177,5;77,5;86,85;39,55;0,892;0,892;21,6;343,1;13,859
9,800;4885;178,7;78,0;86,95;39,55;0,890;0,891;22,0;342,5;13,845
9,850;4895;179,3;78,5;86,95;39,65;0,878;0,890;21,9;347,2;13,915
9,900;4940;180,8;79,0;87,05;39,75;0,882;0,889;22,0;348,2;13,846
9,950;4956;182,0;79,5;87,05;39,55;0,872;0,889;21,8;351,1;13,913
10,000;4983;183,2;80,0;87,05;39,75;0,883;0,888;22,1;352,4;13,847
10,050;5015;183,2;80,5;87,05;39,65;0,871;0,887;21,9;348,8;13,862
10,100;5028;184,3;81,0;87,05;39,65;0,879;0,887;22,4;351,1;13,921
10,150;5066;185,2;81,5;87,15;39,75;0,877;0,886;22,4;351,3;13,879
10,200;5071;186,4;82,0;87,05;39,65;0,884;0,885;22,1;356,3;13,881
10,250;5121;187,1;82,5;87,05;39,85;0,882;0,884;22,3;354,5;13,923
10,300;5127;188,4;83,0;87,05;39,95;0,874;0,884;22,3;358,6;13,857
10,350;5155;188,9;83,5;87,05;39,85;0,878;0,883;22,5;357,3;13,848
10,400;5169;190,3;84,0;87,15;39,85;0,877;0,882;22,8;359,5;13,878
10,450;5206;190,5;84,5;87,15;39,85;0,868;0,882;22,8;362,5;13,875
10,500;5233;192,5;85,0;87,15;39,95;0,873;0,881;22,9;362,3;13,855
10,550;5255;192,3;85,5;87,15;39,95;0,862;0,880;22,8;364,1;13,886
10,600;5279;193,4;86,0;87,15;39,95;0,862;0,880;23,0;363,4;13,899
10,650;5318;194,3;86,5;87,25;39,95;0,875;0,879;22,8;365,7;13,895
10,700;5322;196,1;87,0;87,05;40,05;0,864;0,878;22,9;365,9;13,894
10,750;5358;196,7;87,5;87,15;40,05;0,871;0,878;23,1;369,0;13,841
10,800;5376;197,5;88,0;87,15;40,05;0,858;0,877;23,1;372,3;13,884
10,850;5421;198,5;88,5;87,15;40,15;0,860;0,876;23,2;369,9;13,847
10,900;5434;199,1;89,0;87,25;40,05;0,873;0,875;23,5;374,3;13,837
10,950;5466;200,9;89,5;87,25;40,05;0,861;0,875;23,4;373,2;13,880
11,000;5487;201,7;90,0;87,25;40,05;0,855;0,874;23,8;372,9;13,884
11,050;5514;202,6;90,5;87,15;40,25;0,865;0,873;23,6;373,5;13,840
11,100;5545;203,2;91,0;87,15;40,25;0,856;0,873;23,8;379,6;13,821
11,150;5573;204,4;91,5;87,25;40,15;0,871;0,872;23,9;376,3;13,896
11,200;5582;205,2;92,0;87,25;40,35;0,860;0,871;23,8;381,3;13,891
11,250;5620;205,7;92,5;87,15;40,15;0,854;0,870;23,6;382,1;13,871
11,300;5646;206,9;93,0;87,25;40,35;0,851;0,870;24,2;380,4;13,876
11,350;5659;207,7;93,5;87,25;40,35;0,858;0,869;24,0;383,9;13,871
11,400;5699;209,2;94,0;87,35;40,45;0,868;0,868;24,2;383,0;13,859
11,450;5710;210,3;94,5;87,25;40,25;0,859;0,868;24,4;386,8;13,824
11,500;5750;210,9;95,0;87,35;40,45;0,858;0,867;24,4;385,9;13,815
11,550;5757;212,0;95,5;87,35;40,35;0,861;0,866;24,1;390,5;13,882
11,600;5805;212,7;96,0;87,35;40,45;0,860;0,866;24,2;392,6;13,895
11,650;5831;213,8;96,5;87,25;40,45;0,855;0,865;24,5;393,4;13,860
11,700;5846;214,6;97,0;87,35;40,35;0,848;0,864;24,5;392,5;13,852
11,750;5878;215,1;97,5;87,35;40,55;0,861;0,863;24,6;393,3;13,869
11,800;5897;215,8;98,0;87,35;40,45;0,860;0,863;25,0;395,9;13,899
11,850;5909;217,5;98,5;87,35;40,65;0,852;0,862;24,6;395,0;13,863
11,900;5956;218,7;99,0;87,45;40,65;0,842;0,861;25,1;399,8;13,805
11,950;5980;218,6;99,5;87,35;40,65;0,856;0,861;25,1;399,4;13,834
12,000;5990;220,1;100,0;87,45;40,55;0,853;0,860;24,7;399,4;13,880
12,050;6011;219,8;100,0;87,45;40,55;0,859;0,860;25,2;397,9;13,828
12,100;6007;219,9;100,0;87,45;40,65;0,853;0,860;25,3;402,9;13,828
12,150;6012;220,0;100,0;87,45;40,75;0,859;0,860;25,0;397,1;13,865
12,200;6013;219,7;100,0;87,45;40,65;0,846;0,860;24,9;402,6;13,810
12,250;5993;220,1;100,0;87,45;40,75;0,851;0,860;25,2;401,3;13,811
12,300;5987;219,5;100,0;87,45;40,75;0,856;0,860;25,0;401,9;13,803
12,350;5995;220,0;100,0;87,55;40,85;0,851;0,860;25,2;398,9;13,893
12,400;6013;219,8;100,0;87,55;40,75;0,841;0,860;24,8;402,6;13,883
12,450;5990;220,0;100,0;87,55;40,85;0,844;0,860;25,1;398,1;13,891
12,500;6007;220,4;100,0;87,55;40,75;0,853;0,860;25,1;402,6;13,824
12,550;5990;220,1;100,0;87,55;40,95;0,851;0,860;24,9;401,5;13,810
12,600;6009;219,7;100,0;87,55;40,85;0,846;0,860;24,9;397,2;13,827
12,650;6006;219,6;100,0;87,55;40,85;0,852;0,860;25,3;397,1;13,881
12,700;6007;220,0;100,0;87,65;40,85;0,847;0,860;25,2;402,9;13,841
12,750;5998;220,1;100,0;87,55;41,05;0,850;0,860;25,3;400,4;13,896
12,800;6014;220,1;100,0;87,55;40,95;0,850;0,860;25,2;398,5;13,857
12,850;5988;220,1;100,0;87,65;41,05;0,852;0,860;25,0;402,5;13,841
12,900;5994;220,3;100,0;87,55;41,05;0,849;0,860;25,1;401,3;13,839
12,950;5994;219,9;100,0;87,65;41,05;0,842;0,860;25,1;402,9;13,858
13,000;5990;219,8;100,0;87,65;40,95;0,844;0,860;25,1;401,4;13,833
13,050;5993;220,2;100,0;87,65;41,15;0,859;0,860;25,3;397,6;13,820
13,100;5996;220,1;100,0;87,65;41,05;0,850;0,860;25,3;397,8;13,871
13,150;5993;219,6;100,0;87,65;41,25;0,850;0,860;25,1;402,1;13,847
13,200;5994;220,0;100,0;87,65;41,25;0,844;0,860;24,9;401,7;13,845
13,250;6004;220,2;100,0;87,65;41,15;0,843;0,860;24,7;397,6;13,837
13,300;5989;220,3;100,0;87,65;41,25;0,857;0,860;25,0;397,6;13,889
13,350;6006;219,6;100,0;87,75;41,15;0,840;0,860;24,7;398,1;13,818
13,400;5999;220,4;100,0;87,65;41,35;0,850;0,860;25,2;397,3;13,864
13,450;6004;220,3;100,0;87,75;41,25;0,855;0,860;25,3;398,9;13,820
13,500;5987;220,4;100,0;87,75;41,25;0,846;0,860;25,0;399,7;13,869
13,550;6014;220,6;100,0;87,75;41,35;0,845;0,860;25,2;402,7;13,849
13,600;6009;219,5;100,0;87,75;41,35;0,844;0,860;24,9;402,0;13,882
13,650;5999;219,8;100,0;87,75;41,45;0,852;0,860;25,1;397,1;13,887
13,700;5994;219,5;100,0;87,75;41,45;0,842;0,860;24,8;402,5;13,825
13,750;6002;219,9;100,0;87,75;41,35;0,843;0,860;25,2;400,6;13,874
13,800;6000;219,6;100,0;87,75;41,55;0,858;0,860;25,0;398,6;13,889
13,850;5993;219,9;100,0;87,85;41,55;0,856;0,860;25,2;401,3;13,805
13,900;6014;220,3;100,0;87,75;41,55;0,848;0,860;25,1;398,2;13,851
13,950;5992;219,6;100,0;87,85;41,65;0,857;0,860;24,8;397,6;13,821
14,000;5989;219,5;100,0;87,75;41,65;0,840;0,860;24,7;398,2;13,836
14,050;6004;220,5;100,0;87,75;41,65;0,853;0,860;25,2;402,7;13,848
14,100;5992;220,5;100,0;87,75;41,55;0,845;0,860;25,0;399,4;13,856
14,150;6001;219,7;100,0;87,85;41,65;0,850;0,860;25,0;401,1;13,821
14,200;6014;220,0;100,0;87,85;41,65;0,846;0,860;24,8;399,0;13,853
14,250;6006;220,0;100,0;87,85;41,55;0,849;0,860;25,1;401,4;13,892
14,300;6012;219,7;100,0;87,95;41,65;0,846;0,860;24,8;399,8;13,886
14,350;6009;219,5;100,0;87,85;41,65;0,849;0,860;25,0;397,5;13,845
14,400;6004;220,3;100,0;87,85;41,75;0,843;0,860;24,8;401,7;13,854
14,450;5994;219,8;100,0;87,85;41,85;0,858;0,860;25,1;400,5;13,897
14,500;5988;219,7;100,0;87,85;41,85;0,845;0,860;25,3;397,4;13,843
14,550;6000;220,5;100,0;87,95;41,95;0,849;0,860;25,1;400,4;13,819
14,600;6010;219,5;100,0;87,85;41,95;0,858;0,860;24,8;399,7;13,835
14,650;6006;220,4;100,0;87,95;41,95;0,854;0,860;24,8;402,8;13,816
14,700;5992;220,1;100,0;87,95;41,95;0,841;0,860;25,1;397,5;13,897
14,750;6014;220,2;100,0;87,95;41,85;0,848;0,860;25,0;401,5;13,807
14,800;5999;220,1;100,0;87,95;41,95;0,856;0,860;25,3;397,7;13,852
14,850;5988;219,8;100,0;88,05;41,95;0,846;0,860;25,2;400,4;13,829
14,900;6011;220,5;100,0;87,95;42,05;0,850;0,860;25,2;397,9;13,801
14,950;5986;220,5;100,0;87,95;42,05;0,858;0,860;24,8;401,8;13,816
